criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,12,log2,2,128,128,best,0.6080428388288454
gini,12,log2,2,128,128,random,0.5506329290338563
gini,12,log2,2,256,128,best,0.6168069078753234
gini,12,log2,2,256,128,random,0.5526113481352385
gini,12,log2,4,1,128,best,0.6253939423906276
gini,12,log2,4,1,128,random,0.5388870732665573
gini,12,log2,4,2,128,best,0.6253939423906276
gini,12,log2,4,2,128,random,0.5388870732665573
gini,12,log2,4,4,128,best,0.6253939423906276
gini,12,log2,4,4,128,random,0.5388870732665573
gini,12,log2,4,8,128,best,0.6253939423906276
gini,12,log2,4,8,128,random,0.5388870732665573
gini,12,log2,4,16,128,best,0.6119552891869365
gini,12,log2,4,16,128,random,0.5830850114077643
gini,12,log2,4,32,128,best,0.6099796092504927
gini,12,log2,4,32,128,random,0.5580878178413001
gini,12,log2,4,64,128,best,0.624204282424435
gini,12,log2,4,64,128,random,0.5636888526177904
gini,12,log2,4,128,128,best,0.6301071402465857
gini,12,log2,4,128,128,random,0.5569861287582918
gini,12,log2,4,256,128,best,0.6031145308951716
gini,12,log2,4,256,128,random,0.5551092615968015
gini,12,log2,8,1,128,best,0.6265873419822662
